rpm,load,target_afr,trim_percent
7400,0.60,13.223,0.000
7400,0.65,13.123,0.000
7400,0.70,13.023,0.000
7400,0.75,12.923,0.000
7400,0.80,12.823,0.000
7400,0.85,12.723,0.000
7400,0.90,12.623,0.000
7400,0.95,12.523,0.000
7400,1.00,12.423,0.000
7600,0.00,14.415,0.000
7600,0.05,14.415,0.000
7600,0.10,14.282,0.000
7600,0.15,14.148,0.000
7600,0.20,14.015,0.000
7600,0.25,13.915,0.000
7600,0.30,13.815,0.000
7600,0.35,13.715,0.000
7600,0.40,13.615,0.000
7600,0.45,13.515,0.000
7600,0.50,13.415,0.000
7600,0.55,13.315,0.000
7600,0.60,13.215,0.000
7600,0.65,13.115,0.000
7600,0.70,13.015,0.000
7600,0.75,12.915,0.000
7600,0.80,12.815,0.000
7600,0.85,12.715,0.000
7600,0.90,12.615,0.000
7600,0.95,12.515,0.000
7600,1.00,12.415,0.000
7800,0.00,14.408,0.000
7800,0.05,14.408,0.000
7800,0.10,14.275,0.000
7800,0.15,14.141,0.000
7800,0.20,14.008,0.000
7800,0.25,13.908,0.000
7800,0.30,13.808,0.000
7800,0.35,13.708,0.000
7800,0.40,13.608,0.000
7800,0.45,13.508,0.000
7800,0.50,13.408,0.000
7800,0.55,13.308,0.000
7800,0.60,13.208,0.000
7800,0.65,13.108,0.000
7800,0.70,13.008,0.000
7800,0.75,12.908,0.000
7800,0.80,12.808,0.000
7800,0.85,12.708,0.000
7800,0.90,12.608,0.000
7800,0.95,12.508,0.000
7800,1.00,12.408,0.000
8000,0.00,14.400,0.000
8000,0.05,14.400,0.000
8000,0.10,14.267,0.000
8000,0.15,14.133,0.000
8000,0.20,14.000,0.000
8000,0.25,13.900,0.000
8000,0.30,13.800,0.000
8000,0.35,13.700,0.000
8000,0.40,13.600,0.000
8000,0.45,13.500,0.000
8000,0.50,13.400,0.000
8000,0.55,13.300,0.000
8000,0.60,13.200,0.000
8000,0.65,13.100,0.000
8000,0.70,13.000,0.000
8000,0.75,12.900,0.000
8000,0.80,12.800,0.000
8000,0.85,12.700,0.000
8000,0.90,12.600,0.000
8000,0.95,12.500,0.000
8000,1.00,12.400,0.000
